2026-05-12 14:02:50.323 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:02:55.222 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:00.178 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:05.187 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:10.030 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:14.971 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:19.948 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:24.932 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:42.606 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:43.372 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:45.363 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:50.367 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
2026-05-12 14:03:55.833 | INFO     | app.services.autojs_device_client:register_device:137 - 设备已注册: my_phone
